Country Name,Bangladesh,Brunei Darussalam,China,"Hong Kong SAR, China",India,Indonesia,Israel,Japan,Malaysia,Pakistan,Philippines,Qatar,Republic of Korea,Russian Federation,Saudi Arabia,Singapore,Sri Lanka,Thailand,United Arab Emirates,Vietnam
1998,122682815,319144,1241935000,6543700,1019483581,205724592,5971000,126400000,22114654,134843233,74672014,551562,46286503,147670784,19783304,3927213,18564599,61585103,2813214,78115710
1999,125189651,326210,1252735000,6606500,1038058156,208615169,6125000,126631000,22661298,138624621,76325927,570489,46616677,147214776,20194527,3958723,18663284,62298571,2966034,79035871
2000,127657854,333165,1262645000,6665000,1056575549,211513823,6289000,126843000,23194257,142343578,77991755,592468,47008111,146596869,20663843,4027887,18777601,62952642,3134062,79910412
2001,130088702,340034,1271850000,6714300,1075000085,214427417,6439000,127149000,23709119,145978402,79672873,615012,47370164,145976482,21202642,4138012,18911730,63539196,3302719,80742499
2002,132478086,346782,1280400000,6744100,1093317189,217357793,6570000,127445000,24208391,149549700,81365258,640868,47644736,145306497,21805313,4175950,19062482,64069087,3478777,81534407
2003,134791603,353293,1288400000,6730800,1111523144,220309469,6689700,127718000,24698819,153093373,83051971,681788,47892330,144648618,22456649,4114826,19224037,64549866,3711932,82301656
2004,136986432,359433,1296075000,6783500,1129623456,223285676,6809000,127761000,25190652,156664697,84710542,753334,48082519,144067316,23132682,4166664,19387153,64995299,4068570,83062821
2005,139035505,365114,1303720000,6813200,1147609927,226289470,6930100,127773000,25690611,160304008,86326250,865416,48184561,143518814,23816183,4265762,19544988,65416189,4588225,83832661
2006,140921167,370263,1311020000,6857100,1165486291,229318262,7053700,127854000,26201961,164022627,87888675,1022711,48438292,143049637,24498310,4401365,19695972,65812536,5300174,84617540
2007,142660376,374965,1317885000,6916300,1183209472,232374245,7180100,128001000,26720370,167808105,89405482,1218434,48683638,142805114,25184597,4588599,19842044,66182067,6168838,85419591
2008,144304167,379421,1324655000,6957800,1200669765,235469762,7308800,128063000,27236006,171648986,90901965,1436665,49054708,142742366,25888541,4839396,19983984,66530984,7089487,86243413
2009,145924797,383906,1331260000,6972800,1217726215,238620563,7485600,128047000,27735040,175525609,92414158,1654950,49307835,142785349,26630303,4987573,20123508,66866839,7917372,87092252
2010,147575430,388646,1337705000,7024200,1234281170,241834215,7623600,128070000,28208035,179424641,93966780,1856327,49554112,142849468,27421461,5076732,20261737,67195028,8549988,87967651
2011,149273778,393688,1344130000,7071600,1250288729,245116206,7765800,127833000,28650955,183340592,95570047,2035871,49936638,142960908,28267685,5183688,20398670,67518382,8946777,88871561
2012,151007807,398989,1350695000,7150100,1265782790,248452413,7910500,127629000,29068159,187281475,97212638,2196074,50199853,143201721,29155187,5312437,20425000,67835957,9141596,89802487
2013,152764676,404421,1357380000,7178900,1280846129,251806402,8059500,127445000,29468872,191262919,98871552,2336574,50428893,143506995,30052518,5399162,20585000,68144501,9197910,90753472
2014,154520167,409769,1364270000,7229500,1295604184,255129004,8215700,127276000,29866559,195306825,100513138,2459198,50746659,143819666,30916994,5469724,20778000,68438730,9214175,91714595
2015,156256276,414907,1371220000,7291300,1310152403,258383256,8380100,127141000,30270962,199426964,102113212,2565710,51014947,144096870,31717667,5535002,20970000,68714511,9262900,92677076
2016,157970840,419800,1378665000,7336600,1324509589,261554226,8546000,126994511,30684804,203627284,103663927,2654374,51217803,144342396,32442572,5607283,21203000,68971331,9360980,93638724
2017,159670593,424473,1386395000,7391700,1338658835,264645886,8713300,126785797,31105028,207896686,105173264,2724724,51361911,144496740,33099147,5612253,21444000,69209858,9487203,94596642
2018,161356039,428962,1392730000,7451000,1352617328,267663435,8882800,126529100,31528585,212215030,106651922,2781677,51606633,144477860,33699947,5638676,21670000,69428524,9630959,95540395
