Country, Bangladesh, Brunei Darussalam, China,"Hong Kong SAR, China", India, Indonesia, Israel, Japan," Korea, Rep.", Malaysia, Pakistan, Philippines, Qatar, Russian Federation, Saudi Arabia, Singapore, Sri Lanka, Thailand, United Arab Emirates, Vietnam
X1998,0.681,0.804,0.781,0.925,0.641,0.696,0.899,0.933,0.849,0.804,0.651,0.749,0.88,0.699,0.801,0.881,0.767,0.775,0.829,0.81
X1999,0.69,0.808,0.786,0.93,0.648,0.7,0.903,0.937,0.856,0.806,0.655,0.75,0.882,0.696,0.805,0.886,0.777,0.776,0.832,0.813
X2000,0.699,0.812,0.791,0.935,0.654,0.704,0.906,0.941,0.862,0.809,0.659,0.751,0.884,0.694,0.809,0.892,0.79,0.779,0.836,0.816
X2001,0.707,0.817,0.796,0.939,0.66,0.708,0.91,0.945,0.869,0.812,0.663,0.751,0.886,0.692,0.812,0.899,0.804,0.782,0.839,0.819
X2002,0.714,0.821,0.801,0.943,0.666,0.713,0.914,0.949,0.876,0.815,0.666,0.752,0.889,0.692,0.814,0.906,0.817,0.786,0.842,0.822
X2003,0.721,0.824,0.806,0.947,0.672,0.717,0.919,0.952,0.883,0.818,0.67,0.753,0.891,0.694,0.816,0.913,0.828,0.791,0.846,0.825
X2004,0.728,0.828,0.811,0.95,0.678,0.723,0.923,0.955,0.891,0.821,0.673,0.754,0.894,0.698,0.818,0.921,0.836,0.796,0.849,0.829
X2005,0.735,0.831,0.815,0.953,0.685,0.728,0.927,0.958,0.898,0.824,0.676,0.756,0.896,0.704,0.819,0.927,0.841,0.802,0.852,0.832
X2006,0.742,0.834,0.82,0.956,0.691,0.734,0.931,0.96,0.905,0.827,0.68,0.757,0.899,0.711,0.821,0.933,0.845,0.808,0.855,0.835
X2007,0.748,0.836,0.824,0.959,0.698,0.74,0.935,0.963,0.911,0.83,0.683,0.76,0.902,0.72,0.823,0.939,0.847,0.814,0.858,0.838
X2008,0.755,0.838,0.828,0.962,0.705,0.746,0.939,0.965,0.918,0.833,0.687,0.762,0.904,0.73,0.825,0.943,0.849,0.821,0.861,0.84
X2009,0.761,0.84,0.833,0.965,0.711,0.752,0.942,0.967,0.924,0.835,0.692,0.764,0.907,0.74,0.827,0.948,0.851,0.827,0.864,0.842
X2010,0.767,0.842,0.837,0.968,0.718,0.757,0.946,0.969,0.93,0.838,0.696,0.767,0.909,0.749,0.83,0.951,0.853,0.834,0.867,0.844
X2011,0.773,0.844,0.842,0.971,0.725,0.762,0.949,0.971,0.935,0.841,0.701,0.769,0.912,0.759,0.832,0.955,0.856,0.84,0.87,0.845
X2012,0.779,0.846,0.846,0.974,0.731,0.767,0.951,0.974,0.941,0.844,0.705,0.772,0.914,0.768,0.835,0.958,0.858,0.846,0.872,0.846
X2013,0.784,0.847,0.851,0.978,0.737,0.772,0.954,0.976,0.946,0.847,0.71,0.774,0.916,0.777,0.837,0.961,0.861,0.852,0.875,0.846
X2014,0.788,0.849,0.856,0.982,0.743,0.777,0.957,0.98,0.951,0.85,0.713,0.777,0.918,0.785,0.839,0.964,0.864,0.858,0.878,0.847
X2015,0.793,0.851,0.86,0.985,0.748,0.781,0.959,0.983,0.955,0.853,0.717,0.779,0.919,0.792,0.841,0.967,0.866,0.863,0.881,0.848
X2016,0.797,0.853,0.865,0.989,0.752,0.785,0.962,0.986,0.96,0.856,0.72,0.782,0.921,0.797,0.842,0.971,0.869,0.868,0.884,0.849
X2017,0.801,0.855,0.869,0.992,0.756,0.789,0.964,0.989,0.964,0.859,0.722,0.784,0.923,0.802,0.844,0.974,0.872,0.872,0.887,0.85
X2018,0.805,0.857,0.872,0.995,0.76,0.792,0.966,0.992,0.967,0.862,0.725,0.786,0.925,0.806,0.846,0.976,0.874,0.876,0.889,0.851
